<M> a a c h e n e r <EOS>	a a c h e n e r <EOS>	3
<N> a a k <EOS>	a a k e <EOS>	2
<F> a a s f l i e g e <EOS>	a a s f l i e g e n <EOS>	1
<M> a a s f r e s s e r <EOS>	a a s f r e s s e r <EOS>	3
<M> a a s g e i e r <EOS>	a a s g e i e r <EOS>	3
<N> a <EOS>	a s <EOS>	5
<M> a a s v o g e l <EOS>	a a s v ö g e l <EOS>	3
<F> a b ä n d e r u n g <EOS>	a b ä n d e r u n g e n <EOS>	1
<F> a b a r t <EOS>	a b a r t e n <EOS>	1
<F> a b a r t i g k e i t <EOS>	a b a r t i g k e i t e n <EOS>	1
<F> a b a s i e <EOS>	a b a s i e n <EOS>	1
<N> a b a t o n <EOS>	a b a t a <EOS>	6
<M> a b b a u <EOS>	a b b a u e <EOS>	2
<M> a b b é <EOS>	a b b é s <EOS>	5
<N> a b b i l d <EOS>	a b b i l d e r <EOS>	4
<F> a b b i l d u n g <EOS>	a b b i l d u n g e n <EOS>	1
<M> a b b i n d e b e s c h l e u n i g e r <EOS>	a b b i n d e b e s c h l e u n i g e r <EOS>	3
<F> a b b i t t e <EOS>	a b b i t t e n <EOS>	1
<N> a b b l a s e v e n t i l <EOS>	a b b l a s e v e n t i l e <EOS>	2
<M> a b b r u c h <EOS>	a b b r ü c h e <EOS>	2
<M> a b c - s c h ü t z e <EOS>	a b c - s c h ü t z e n <EOS>	1
<F> a b d a n k u n g <EOS>	a b d a n k u n g e n <EOS>	1
<F> a b d e c k p l a t t e <EOS>	a b d e c k p l a t t e n <EOS>	1
<M> a b d r u c k <EOS>	a b d r ü c k e <EOS>	2
<F> a b d u k t i o n <EOS>	a b d u k t i o n e n <EOS>	1
<M> a b d u k t o r <EOS>	a b d u k t o r e n <EOS>	1
<N> a b e c e d a r i u m <EOS>	a b e c e d a r i e n <EOS>	6
<M> a b e i l l e k o l i b r i <EOS>	a b e i l l e k o l i b r i s <EOS>	5
<M> a b e n d <EOS>	a b e n d e <EOS>	2
<F> a b e n d d ä m m e r u n g <EOS>	a b e n d d ä m m e r u n g e n <EOS>	1
<N> a b e n d e s s e n <EOS>	a b e n d e s s e n <EOS>	3
<F> a b e n d k a s s e <EOS>	a b e n d k a s s e n <EOS>	1
<N> a b e n d m a h l <EOS>	a b e n d m a h l e <EOS>	2
<F> a b e n d m a h l s f e i e r <EOS>	a b e n d m a h l s f e i e r n <EOS>	1
<N> a b e n t e u e r <EOS>	a b e n t e u e r <EOS>	3
<F> a b e n t e u e r i n <EOS>	a b e n t e u e r i n n e n <EOS>	6
<M> a b e n t e u r e r <EOS>	a b e n t e u r e r <EOS>	3
<F> a b e n t e u r e r i n <EOS>	a b e n t e u r e r i n n e n <EOS>	6
<M> a b e r g l a u b e <EOS>	a b e r g l a u b e n <EOS>	1
<F> a b e r r a t i o n <EOS>	a b e r r a t i o n e n <EOS>	1
<F> a b f a h r t s l i s t e <EOS>	a b f a h r t s l i s t e n <EOS>	1
<M> a b f a l l <EOS>	a b f ä l l e <EOS>	2
<M> a b f a l l e i m e r <EOS>	a b f a l l e i m e r <EOS>	3
<N> a b f a l l p r o d u k t <EOS>	a b f a l l p r o d u k t e <EOS>	2
<M> a b f a l l s t o f f <EOS>	a b f a l l s t o f f e <EOS>	2
<F> a b f e r t i g u n g <EOS>	a b f e r t i g u n g e n <EOS>	1
<N> a b f e r t i g u n g s g e b ä u d e <EOS>	a b f e r t i g u n g s g e b ä u d e <EOS>	3
<M> a b f e r t i g u n g s s c h a l t e r <EOS>	a b f e r t i g u n g s s c h a l t e r <EOS>	3
<F> a b f i n d u n g <EOS>	a b f i n d u n g e n <EOS>	1
<M> a b f l u g <EOS>	a b f l ü g e <EOS>	2
<F> a b f l u g z e i t <EOS>	a b f l u g z e i t e n <EOS>	1
<M> a b f l u s s <EOS>	a b f l ü s s e <EOS>	2
<F> a b f o l g e <EOS>	a b f o l g e n <EOS>	1
<F> a b f r a g e <EOS>	a b f r a g e n <EOS>	1
<N> a b f ü h r m i t t e l <EOS>	a b f ü h r m i t t e l <EOS>	3
<F> a b g a b e <EOS>	a b g a b e n <EOS>	1
<F> a b g a b e l e i s t u n g <EOS>	a b g a b e l e i s t u n g e n <EOS>	1
<M> a b g a n g <EOS>	a b g ä n g e <EOS>	2
<N> a b g a s <EOS>	a b g a s e <EOS>	2
<M> a b g a s k a t a l y s a t o r <EOS>	a b g a s k a t a l y s a t o r e n <EOS>	1
<F> a b g a s k l a p p e <EOS>	a b g a s k l a p p e n <EOS>	1
<F> a b g a s t u r b i n e <EOS>	a b g a s t u r b i n e n <EOS>	1
<N> a b g e o r d n e t e n h a u s <EOS>	a b g e o r d n e t e n h ä u s e r <EOS>	4
<M> a b g o t t <EOS>	a b g ö t t e r <EOS>	4
<F> a b g r e n z u n g <EOS>	a b g r e n z u n g e n <EOS>	1
<F> a b h a n d l u n g <EOS>	a b h a n d l u n g e n <EOS>	1
<M> a b h a n g <EOS>	a b h ä n g e <EOS>	2
<F> a b h ä n g i g k e i t <EOS>	a b h ä n g i g k e i t e n <EOS>	1
<F> a b h i l f e <EOS>	a b h i l f e n <EOS>	1
<F> a b h o l z u n g <EOS>	a b h o l z u n g e n <EOS>	1
<M> a b h ö r v e r b r e c h e r <EOS>	a b h ö r v e r b r e c h e r <EOS>	3
<N> a b i t u r <EOS>	a b i t u r e <EOS>	2
<M> a b i t u r i e n t <EOS>	a b i t u r i e n t e n <EOS>	1
<F> a b k l ä r u n g <EOS>	a b k l ä r u n g e n <EOS>	1
<M> a b k l a t s c h <EOS>	a b k l a t s c h e <EOS>	2
<M> a b k ö m m l i n g <EOS>	a b k ö m m l i n g e <EOS>	2
<F> a b k ü h l u n g <EOS>	a b k ü h l u n g e n <EOS>	1
<F> a b k ü r z u n g <EOS>	a b k ü r z u n g e n <EOS>	1
<N> a b k ü r z u n g s v e r z e i c h n i s <EOS>	a b k ü r z u n g s v e r z e i c h n i s s e <EOS>	6
<F> a b l a g e r u n g <EOS>	a b l a g e r u n g e n <EOS>	1
<M> a b l a s s <EOS>	a b l ä s s e <EOS>	2
<N> a b l a s s v e n t i l <EOS>	a b l a s s v e n t i l e <EOS>	2
<M> a b l a u t <EOS>	a b l a u t e <EOS>	2
<M> a b l e g e r <EOS>	a b l e g e r <EOS>	3
<F> a b l e h n u n g <EOS>	a b l e h n u n g e n <EOS>	1
<F> a b l e i t u n g <EOS>	a b l e i t u n g e n <EOS>	1
<F> a b l ö s e <EOS>	a b l ö s e n <EOS>	1
<F> a b l ö s u n g <EOS>	a b l ö s u n g e n <EOS>	1
<F> a b m a c h u n g <EOS>	a b m a c h u n g e n <EOS>	1
<F> a b n a h m e <EOS>	a b n a h m e n <EOS>	1
<M> a b n e h m e r t a u s c h <EOS>	a b n e h m e r t a u s c h e <EOS>	2
<F> a b n e i g u n g <EOS>	a b n e i g u n g e n <EOS>	1
<F> a b n u t z u n g <EOS>	a b n u t z u n g e n <EOS>	1
<N> a b o <EOS>	a b o s <EOS>	5
<N> a b o n n e m e n t <EOS>	a b o n n e m e n t s <EOS>	5
<M> a b o n n e n t <EOS>	a b o n n e n t e n <EOS>	1
<F> a b o n n e n t i n <EOS>	a b o n n e n t i n n e n <EOS>	6
<N> a b o r d n u n g s g e l d <EOS>	a b o r d n u n g s g e l d e r <EOS>	4
<M> a b o r t <EOS>	a b o r t e <EOS>	2
<M> a b p f i f f <EOS>	a b p f i f f e <EOS>	2
<F> a b r a s i o n <EOS>	a b r a s i o n e n <EOS>	1
<F> a b r a s i o n s p l a t t e <EOS>	a b r a s i o n s p l a t t e n <EOS>	1
<F> a b r e d e <EOS>	a b r e d e n <EOS>	1
<M> a b r i s s <EOS>	a b r i s s e <EOS>	2
<F> a b s a g e <EOS>	a b s a g e n <EOS>	1
<F> a b s ä t t i g u n g <EOS>	a b s ä t t i g u n g e n <EOS>	1
<M> a b s a t z <EOS>	a b s ä t z e <EOS>	2
<N> a b s a t z z e i c h e n <EOS>	a b s a t z z e i c h e n <EOS>	3
<F> a b s c h a f f u n g <EOS>	a b s c h a f f u n g e n <EOS>	1
<F> a b s c h e u l i c h k e i t <EOS>	a b s c h e u l i c h k e i t e n <EOS>	1
<M> a b s c h i e d s b r i e f <EOS>	a b s c h i e d s b r i e f e <EOS>	2
<N> a b s c h i e d s g e s c h e n k <EOS>	a b s c h i e d s g e s c h e n k e <EOS>	2
<F> a b s c h i r m u n g <EOS>	a b s c h i r m u n g e n <EOS>	1
<M> a b s c h l a g <EOS>	a b s c h l ä g e <EOS>	2
<M> a b s c h l e p p w a g e n <EOS>	a b s c h l e p p w a g e n <EOS>	3
<M> a b s c h l u s s <EOS>	a b s c h l ü s s e <EOS>	2
<M> a b s c h n i t t <EOS>	a b s c h n i t t e <EOS>	2
<F> a b s c h o t t u n g <EOS>	a b s c h o t t u n g e n <EOS>	1
<F> a b s c h r e c k u n g <EOS>	a b s c h r e c k u n g e n <EOS>	1
<F> a b s c h r e i b u n g <EOS>	a b s c h r e i b u n g e n <EOS>	1
<M> a b s c h u ß r i n g <EOS>	a b s c h u ß r i n g e <EOS>	2
<M> a b s c h w u n g <EOS>	a b s c h w ü n g e <EOS>	2
<M> a b s e n d e r <EOS>	a b s e n d e r <EOS>	3
<F> a b s e n k u n g <EOS>	a b s e n k u n g e n <EOS>	1
<F> a b s i c h t <EOS>	a b s i c h t e n <EOS>	1
<M> a b s i e d l e r <EOS>	a b s i e d l e r <EOS>	3
<M> a b s i n t h <EOS>	a b s i n t h e <EOS>	2
<M> a b s o l v e n t <EOS>	a b s o l v e n t e n <EOS>	1
<F> a b s o r p t i o n <EOS>	a b s o r p t i o n e n <EOS>	1
<F> a b s p e r r e <EOS>	a b s p e r r e n <EOS>	1
<M> a b s t a m m u n g s b e s c h e i d <EOS>	a b s t a m m u n g s b e s c h e i d e <EOS>	2
<M> a b s t e c h e r <EOS>	a b s t e c h e r <EOS>	3
<M> a b s t i e g <EOS>	a b s t i e g e <EOS>	2
<F> a b s t i m m u n g <EOS>	a b s t i m m u n g e n <EOS>	1
<N> a b s t r a c t <EOS>	a b s t r a c t s <EOS>	5
<F> a b s t r a h l u n g <EOS>	a b s t r a h l u n g e n <EOS>	1
<N> a b s t r a k t u m <EOS>	a b s t r a k t a <EOS>	6
<M> a b s t u r z <EOS>	a b s t ü r z e <EOS>	2
<N> a b s z e s s <EOS>	a b s z e s s e <EOS>	2
<F> a b s z i s s e <EOS>	a b s z i s s e n <EOS>	1
<M> a b t <EOS>	ä b t e <EOS>	2
<F> a b t e i <EOS>	a b t e i e n <EOS>	1
<N> a b t e i l <EOS>	a b t e i l e <EOS>	2
<F> a b t e i l u n g <EOS>	a b t e i l u n g e n <EOS>	1
<M> a b t e i l u n g s l e i t e r <EOS>	a b t e i l u n g s l e i t e r <EOS>	3
<F> ä b t i s s i n <EOS>	ä b t i s s i n n e n <EOS>	6
<M> a b t r a n s p o r t <EOS>	a b t r a n s p o r t e <EOS>	2
<F> a b t r e n n u n g <EOS>	a b t r e n n u n g e n <EOS>	1
<F> a b w a n d e r u n g <EOS>	a b w a n d e r u n g e n <EOS>	1
<N> a b w a s s e r <EOS>	a b w ä s s e r <EOS>	3
<M> a b w e h r s t o f f <EOS>	a b w e h r s t o f f e <EOS>	2
<F> a b w e i c h u n g <EOS>	a b w e i c h u n g e n <EOS>	1
<F> a b w e s e n h e i t <EOS>	a b w e s e n h e i t e n <EOS>	1
<M> a b w e s e n h e i t s p f l e g e r <EOS>	a b w e s e n h e i t s p f l e g e r <EOS>	3
<N> a b z e i c h e n <EOS>	a b z e i c h e n <EOS>	3
<F> a b z o c k e <EOS>	a b z o c k e n <EOS>	1
<M> a b z u g <EOS>	a b z ü g e <EOS>	2
<F> a b z w e i g u n g <EOS>	a b z w e i g u n g e n <EOS>	1
<N> a c c e s s o i r e <EOS>	a c c e s s o i r e s <EOS>	5
<N> a c e t a l <EOS>	a c e t a l e <EOS>	2
<N> a c e t a t <EOS>	a c e t a t e <EOS>	2
<F> a c e t e s s i g s ä u r e <EOS>	a c e t e s s i g s ä u r e n <EOS>	1
<N> a c e t y l i d <EOS>	a c e t y l i d e <EOS>	2
<F> a c h ä n e <EOS>	a c h ä n e n <EOS>	1
<M> a c h a t <EOS>	a c h a t e <EOS>	2
<F> a c h a t s c h n e c k e <EOS>	a c h a t s c h n e c k e n <EOS>	1
<F> a c h s e <EOS>	a c h s e n <EOS>	1
<F> a c h s e l <EOS>	a c h s e l n <EOS>	1
<F> a c h s e l h ö h l e <EOS>	a c h s e l h ö h l e n <EOS>	1
<N> a c h t e c k <EOS>	a c h t e c k e <EOS>	2
<F> a c h t e l <EOS>	a c h t e l <EOS>	3
<F> a c h t e l n o t e <EOS>	a c h t e l n o t e n <EOS>	1
<M> a c h t z i g e r <EOS>	a c h t z i g e r <EOS>	3
<M> a c k e r <EOS>	ä c k e r <EOS>	3
<M> a c k e r b o d e n <EOS>	a c k e r b ö d e n <EOS>	3
<M> a c k e r s c h a c h t e l h a l m <EOS>	a c k e r s c h a c h t e l h a l m e <EOS>	2
<F> a c r y l f a r b e <EOS>	a c r y l f a r b e n <EOS>	1
<N> a d a m i n <EOS>	a d a m i n e <EOS>	2
<M> a d a m s a p f e l <EOS>	a d a m s ä p f e l <EOS>	3
<M> a d a p t e r <EOS>	a d a p t e r <EOS>	3
<N> a d d i t i v <EOS>	a d d i t i v e <EOS>	2
<M> a d e l i e p i n g u i n <EOS>	a d e l i e p i n g u i n e <EOS>	2
<N> a d e n i n <EOS>	a d e n i n e <EOS>	2
<F> a d e r <EOS>	a d e r n <EOS>	1
<F> a d e r h a u t <EOS>	a d e r h ä u t e <EOS>	2
<M> a d e r l a s s <EOS>	a d e r l a s s e <EOS>	2
<F> a d h ä s i o n <EOS>	a d h ä s i o n e n <EOS>	1
<N> a d j e k t i v <EOS>	a d j e k t i v e <EOS>	2
<M> a d j u t a n t <EOS>	a d j u t a n t e n <EOS>	1
<M> a d l e r b u s s a r d <EOS>	a d l e r b u s s a r d e <EOS>	2
<M> a d m i n i s t r a t o r <EOS>	a d m i n i s t r a t o r e n <EOS>	1
<M> a d s t r i n g e n s <EOS>	o r <EOS>	6
<M> a d v e n t <EOS>	a d v e n t e <EOS>	2
<M> a d v e n t s k a l e n d e r <EOS>	a d v e n t s k a l e n d e r <EOS>	3
<M> a d v e n t s k r a n z <EOS>	a d v e n t s k r ä n z e <EOS>	2
<N> a d v e r b <EOS>	a d v e r b i e n <EOS>	6
<M> a d v o k a t <EOS>	a d v o k a t e n <EOS>	1
<N> a e r o g e l <EOS>	a e r o g e l e <EOS>	2
